,classifier,accuracy,std_deviation
0,knn 1,0.952,0.023455818864334965
1,knn 2,0.9553333333333334,0.015761378513048253
2,knn 3,0.96,0.012235505806429976
3,knn 4,0.9633333333333334,0.013593944300217927
4,knn 5,0.9586666666666667,0.021148320547700824
5,knn 6,0.9666666666666667,0.013333333333333358
6,knn 7,0.9606666666666667,0.02140120781419669
7,knn 8,0.9666666666666667,0.011028935891580176
8,knn 9,0.9646666666666667,0.017979845766890493
9,knn 10,0.9646666666666667,0.01947858323077844
10,knn 11,0.9553333333333334,0.017979845766890486
11,knn 12,0.9553333333333334,0.023405902189617512
12,knn 13,0.9493333333333334,0.027901246068298517
13,knn 14,0.9566666666666667,0.025546654946340223
14,knn 15,0.9586666666666667,0.01724945969151275
15,fisher,0.8686666666666667,0.0365212427169537
